# Time,Rho,NinA,NinB,NoutB,Nrec
0.000000000000000000e+00,5.895135782608175207e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.201421350240707561e-17
1.000000000000000021e-03,5.895135782608175207e-23,1.407359999999999722e-01,1.407359999999999812e-06,3.868480799999999908e-11,-8.003553375601768902e-18
2.000000000000000042e-03,5.895135782608175207e-23,2.814667242580877748e-01,4.221988558304546229e-06,1.547367184963962093e-10,-3.201421350240707561e-17
3.000000000000000062e-03,5.895135782608175207e-23,4.221921729720340410e-01,8.443794237709365216e-06,3.868355126054324373e-10,4.365574568510056115e-18
4.000000000000000083e-03,5.895135782608175207e-23,5.629123463396020766e-01,1.407268560550115736e-05,7.736584581866455202e-10,-3.055902197957039203e-17
5.000000000000000104e-03,5.895135782608175207e-23,7.036272445585475266e-01,2.110857123345740197e-05,1.353880309966305850e-09,1.746229827404022446e-17
6.000000000000000125e-03,5.895135782608175207e-23,8.443368678266190974e-01,2.955135969784616676e-05,2.166173309660852058e-09,-5.675246939063072102e-17
7.000000000000000146e-03,5.895135782608175207e-23,9.850412163415576128e-01,3.940095957942589007e-05,3.249207186100321403e-09,-4.001776687800884759e-17
8.000000000000000167e-03,5.895135782608175207e-23,1.125740290301096680e+00,5.065727946344523698e-05,4.641649155351771845e-09,-5.093170329928397902e-18
9.000000000000001055e-03,5.895135782608175207e-23,1.266434089902962690e+00,6.332022793964281124e-05,6.382163920842702969e-09,1.222360879182815681e-16
1.000000000000000021e-02,5.895135782608175207e-23,1.407122615344874150e+00,7.738971360224703670e-05,8.509413673484470511e-09,4.496541805565357051e-16
1.099999999999999936e-02,5.895135782608175207e-23,1.547805866824542687e+00,9.286564504997595743e-05,1.106205809179568392e-08,1.575972419232130098e-15
1.200000000000000025e-02,5.895135782608175207e-23,1.688483844539671930e+00,1.097479308860369463e-04,1.407875434202562501e-08,4.527828423306346740e-15
1.300000000000000114e-02,5.895135782608175207e-23,1.829156548687958628e+00,1.280364797181266780e-04,1.759815707827763354e-08,1.161242835223674917e-14
1.400000000000000029e-02,5.895135782608175207e-23,1.969823979467091979e+00,1.477312001584306681e-04,2.165891844263249773e-08,2.643791958689689843e-14
1.499999999999999944e-02,5.895135782608175207e-23,2.110486137074753632e+00,1.688320008236234222e-04,2.629968806527184314e-08,5.542824510484934318e-14
1.600000000000000033e-02,5.895135782608175207e-23,2.251143021708617908e+00,1.913387903348679614e-04,3.155911306460152654e-08,1.082844391930848352e-13
1.700000000000000122e-02,5.895135782608175207e-23,2.391794633566351802e+00,2.152514773178157144e-04,3.747583804737498173e-08,1.993677869904786518e-13
1.800000000000000211e-02,5.895135782608175207e-23,2.532440972845614091e+00,2.405699704026063000e-04,4.408850510881662499e-08,3.487140929792076454e-13
1.899999999999999953e-02,5.895135782608175207e-23,2.673082039744057781e+00,2.672941782238674735e-04,5.143575383274517117e-08,5.840513040311635023e-13
2.000000000000000042e-02,5.895135782608175207e-23,2.813717834459327438e+00,2.954240094207146112e-04,5.955622129169706554e-08,9.415613021701576346e-13
2.100000000000000130e-02,5.895135782608175207e-23,2.954348357189059637e+00,3.249593726367509816e-04,6.848854204704977347e-08,1.468095433665439649e-12
2.199999999999999872e-02,5.895135782608175207e-23,3.094973608130885179e+00,3.559001765200669326e-04,7.827134814914510307e-08,2.222400507889688454e-12
2.299999999999999961e-02,5.895135782608175207e-23,3.235593587482425537e+00,3.882463297232402705e-04,8.894326913741267354e-08,3.277217911090702392e-12
2.400000000000000050e-02,5.895135782608175207e-23,3.376208295441296414e+00,4.219977409033358264e-04,1.005429320404931187e-07,4.720737342722714601e-12
2.500000000000000139e-02,5.895135782608175207e-23,3.516817732205105074e+00,4.571543187219052396e-04,1.131089613763614891e-07,6.658550410065800492e-12
2.600000000000000228e-02,5.895135782608175207e-23,3.657421897971452562e+00,4.937159718449866865e-04,1.266799791524505483e-07,9.214903548127041630e-12
2.699999999999999969e-02,5.895135782608175207e-23,3.798020792937931045e+00,5.316826089431048261e-04,1.412946048657741486e-07,1.253507289220579079e-11
2.800000000000000058e-02,5.895135782608175207e-23,3.938614417302125581e+00,5.710541386912706919e-04,1.569914555030504475e-07,1.678653716226108542e-11
2.900000000000000147e-02,5.895135782608175207e-23,4.079202771261615013e+00,6.118304697689812581e-04,1.738091455408253104e-07,2.216067587141879028e-11
2.999999999999999889e-02,5.895135782608175207e-23,4.219785855013968856e+00,6.540115108602192768e-04,1.917862869455956063e-07,2.887435548473149635e-11
