# Time,Rho,NinA,NinB,NoutB,Nrec
0.000000000000000000e+00,5.895135782608175207e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.705522537231445798e-15
3.000000000000000062e-03,5.895135782608175207e-23,4.222080000000000277e-01,1.266623999999999832e-03,1.044489815999999787e-07,-4.470348358154297462e-15
6.000000000000000125e-03,5.895135782608175207e-23,8.431165634339340409e-01,3.795869245626646085e-03,4.174658492674872565e-07,-5.587935447692871235e-15
9.000000000000001055e-03,5.895135782608175207e-23,1.262729689599279448e+00,7.583745310462538733e-03,1.042840446931504118e-06,1.564621925354004072e-14
1.200000000000000025e-02,5.895135782608175207e-23,1.681051365484808713e+00,1.262627405810356866e-02,2.084034571447869960e-06,1.128762960433960135e-12
1.499999999999999944e-02,5.895135782608175207e-23,2.098085565808473607e+00,1.891948960433302920e-02,3.644182982945182125e-06,1.294389367103576821e-11
1.800000000000000211e-02,5.895135782608175207e-23,2.513836253055170111e+00,2.645943827941214452e-02,5.826094412061205393e-06,7.293373346328735967e-11
2.100000000000000130e-02,5.895135782608175207e-23,2.928307377514388854e+00,3.524217859048665163e-02,8.732252564079210817e-06,2.775829285383224959e-10
2.400000000000000050e-02,5.895135782608175207e-23,3.341502877317748865e+00,4.526378118410911977e-02,1.246481711997381051e-05,8.211269974708557914e-10
2.699999999999999969e-02,5.895135782608175207e-23,3.753426678476416090e+00,5.652032880887654376e-02,1.712562473437579308e-05,2.037079632282257036e-09
2.999999999999999889e-02,5.895135782608175207e-23,4.164082694918407768e+00,6.900791627818300689e-02,2.281619003046546050e-05,4.438917338848114137e-09
3.300000000000000155e-02,5.895135782608175207e-23,4.573474828525776914e+00,8.272265043308692223e-02,2.963770659180388751e-05,8.757307380437850829e-09
3.600000000000000422e-02,5.895135782608175207e-23,4.981606969171694210e+00,9.766065010529258184e-02,3.769104795111157587e-05,1.597314588725567001e-08
3.899999999999999994e-02,5.895135782608175207e-23,5.388482994757398892e+00,1.138180460802456634e-01,4.707676857600383280e-05,2.734549976885319052e-08
4.200000000000000261e-02,5.895135782608175207e-23,5.794106771249050603e+00,1.311909810603422433e-01,5.789510485169231115e-05,4.443490505218506462e-08
4.499999999999999833e-02,5.895135782608175207e-23,6.198482152714462678e+00,1.497756096282512328e-01,7.024597606066198467e-05,6.912211887538433747e-08
4.800000000000000100e-02,5.895135782608175207e-23,6.601612981359715526e+00,1.695680982103492385e-01,8.422898535933289940e-05,1.036227889358997392e-07
5.100000000000000366e-02,5.895135782608175207e-23,7.003503087565674079e+00,1.905646250402686648e-01,9.994342075171604915e-05,1.504987120628357006e-07
5.399999999999999939e-02,5.895135782608175207e-23,7.404156289924372025e+00,2.127613801225574086e-01,1.174882560600724348e-04,2.126658339053392374e-07
5.700000000000000205e-02,5.895135782608175207e-23,7.803576395275301003e+00,2.361545651964505332e-01,1.369621518925847399e-04,2.933998726308345958e-07
5.999999999999999778e-02,5.895135782608175207e-23,8.201767198741576337e+00,2.607403936997537142e-01,1.584634566080507035e-04,3.963393621146679083e-07
6.300000000000000044e-02,5.895135782608175207e-23,8.598732483766008627e+00,2.865150907328375407e-01,1.820902072776072822e-04,5.254872534424067016e-07
6.600000000000000311e-02,5.895135782608175207e-23,8.994476022147031458e+00,3.134748930227427288e-01,2.079401306434951993e-04,6.852105841040611543e-07
6.900000000000000577e-02,5.895135782608175207e-23,9.389001574074562484e+00,3.416160488873958845e-01,2.361106440748720909e-04,8.802390977740288776e-07
7.200000000000000844e-02,5.895135782608175207e-23,9.782312888165710874e+00,3.709348181999352900e-01,2.666988565206842936e-04,1.115662708505988262e-06
7.499999999999999722e-02,5.895135782608175207e-23,1.017441370150041635e+01,4.014274723531462974e-01,2.998015694596055402e-04,1.396928016096353709e-06
7.799999999999999989e-02,5.895135782608175207e-23,1.056530773965693548e+01,4.330902942240069109e-01,3.355152778470526999e-04,1.729834259301424102e-06
8.100000000000000255e-02,5.895135782608175207e-23,1.095499871674725512e+01,4.659195781383416168e-01,3.739361710592856657e-04,2.120528568327427088e-06
8.400000000000000522e-02,5.895135782608175207e-23,1.134349033545237795e+01,4.999116298355843480e-01,4.151601338346026099e-04,2.575500840693712179e-06
8.700000000000000788e-02,5.895135782608175207e-23,1.173078628705750504e+01,5.350627664336503608e-01,4.592827472116374379e-04,3.101578195765615162e-06
8.999999999999999667e-02,5.895135782608175207e-23,1.211689025148710463e+01,5.713693163939150832e-01,5.063992894647706628e-04,3.705919216945767550e-06
9.299999999999999933e-02,5.895135782608175207e-23,1.250180589733987979e+01,6.088276194863021518e-01,5.566047370366598249e-04,4.396007943525910519e-06
9.600000000000000200e-02,5.895135782608175207e-23,1.288553688192363289e+01,6.474340267544776983e-01,6.099937654679010593e-04,5.179647729545831582e-06
9.900000000000000466e-02,5.895135782608175207e-23,1.326808685129000587e+01,6.871849004811522166e-01,6.666607503238279348e-04,6.064954903721810085e-06
1.020000000000000073e-01,5.895135782608175207e-23,1.364945944026912095e+01,7.280766141534900093e-01,7.266997681184601430e-04,7.060352668538689263e-06
1.049999999999999961e-01,5.895135782608175207e-23,1.402965827250413433e+01,7.701055524286234411e-01,7.902045972356053433e-04,8.174564588069916136e-06
1.079999999999999988e-01,5.895135782608175207e-23,1.440868696048564601e+01,8.132681110992747708e-01,8.572687188471293969e-04,9.416608238965274723e-06
1.110000000000000014e-01,5.895135782608175207e-23,1.478654910558604030e+01,8.575606970594830125e-01,9.279853178283970503e-04,1.079578910619020561e-05
1.140000000000000041e-01,5.895135782608175207e-23,1.516324829809369490e+01,9.029797282704363770e-01,1.002447283670897813e-03,1.232169404849410282e-05
1.170000000000000068e-01,5.895135782608175207e-23,1.553878811724709763e+01,9.495216337264108519e-01,1.080747211392062016e-03,1.400418534949421980e-05
1.199999999999999956e-01,5.895135782608175207e-23,1.591317213126885122e+01,9.971828534208112549e-01,1.162977402442275619e-03,1.585339441448450028e-05
1.229999999999999982e-01,5.895135782608175207e-23,1.628640389739959105e+01,1.045959838312320311e+00,1.249229865609105365e-03,1.787971576787531476e-05
1.260000000000000009e-01,5.895135782608175207e-23,1.665848696193176437e+01,1.095849050291147542e+00,1.339596317918739050e-03,2.009380118474364226e-05
1.290000000000000036e-01,5.895135782608175207e-23,1.702942486024333846e+01,1.146846962145387394e+00,1.434168185534653167e-03,2.250655365362763460e-05
1.320000000000000062e-01,5.895135782608175207e-23,1.739922111683138439e+01,1.198950057527474966e+00,1.533036604653512146e-03,2.512912182994186928e-05
1.350000000000000089e-01,5.895135782608175207e-23,1.776787924534558272e+01,1.252154830920749085e+00,1.636292422398314371e-03,2.797289423011243591e-05
1.380000000000000115e-01,5.895135782608175207e-23,1.813540274862158341e+01,1.306457787606118526e+00,1.744026197708784106e-03,3.104949373416602621e-05
1.410000000000000142e-01,5.895135782608175207e-23,1.850179511871430194e+01,1.361855443628826823e+00,1.856328202229026031e-03,3.437077224254608506e-05
1.440000000000000169e-01,5.895135782608175207e-23,1.886705983693111222e+01,1.418344325765324321e+00,1.973288421192449099e-03,3.794880517646670253e-05
1.469999999999999918e-01,5.895135782608175207e-23,1.923120037386489045e+01,1.475920971490239264e+00,2.094996554303962984e-03,4.179588644988835566e-05
1.499999999999999944e-01,5.895135782608175207e-23,1.959422018942702692e+01,1.534581928943449247e+00,2.221542016619461844e-03,4.592452331185340776e-05
1.529999999999999971e-01,5.895135782608175207e-23,1.995612273288027794e+01,1.594323756897258582e+00,2.353013939422602362e-03,5.034743136093020179e-05
1.559999999999999998e-01,5.895135782608175207e-23,2.031691144287155026e+01,1.655143024723672918e+00,2.489501171098877988e-03,5.507752964235842168e-05
1.590000000000000024e-01,5.895135782608175207e-23,2.067658974746456835e+01,1.717036312361774453e+00,2.631092278007010881e-03,6.012793591842055183e-05
1.620000000000000051e-01,5.895135782608175207e-23,2.103516106417244913e+01,1.780000210285201723e+00,2.777875545347654584e-03,6.551196204833687191e-05
1.650000000000000078e-01,5.895135782608175207e-23,2.139262879999016320e+01,1.844031319469722430e+00,2.929938978029426096e-03,7.124310942515731224e-05
1.680000000000000104e-01,5.895135782608175207e-23,2.174899635142693555e+01,1.909126251360914628e+00,3.087370301532276016e-03,7.733506441935897075e-05
1.710000000000000131e-01,5.895135782608175207e-23,2.210426710453847932e+01,1.975281627841938947e+00,3.250256962768191971e-03,8.380169425271452740e-05
1.740000000000000158e-01,5.895135782608175207e-23,2.245844443495920473e+01,2.042494081201416289e+00,3.418686130939263546e-03,9.065704257041215736e-05
1.769999999999999907e-01,5.895135782608175207e-23,2.281153170793426810e+01,2.110760254101402555e+00,3.592744698393100875e-03,9.791532540321351661e-05
1.799999999999999933e-01,5.895135782608175207e-23,2.316353227835154271e+01,2.180076799545457966e+00,3.772519281475618207e-03,1.055909270402044184e-04
1.829999999999999960e-01,5.895135782608175207e-23,2.351444949077352220e+01,2.250440380846823185e+00,3.958096221381199320e-03,1.136983962021768149e-04
1.859999999999999987e-01,5.895135782608175207e-23,2.386428667946908888e+01,2.321847671596683149e+00,4.149561585000240485e-03,1.222524420261383155e-04
1.890000000000000013e-01,5.895135782608175207e-23,2.421304716844517557e+01,2.394295355632539035e+00,4.347001165764088730e-03,1.312679304309189311e-04
1.920000000000000040e-01,5.895135782608175207e-23,2.456073427147838117e+01,2.467780127006666824e+00,4.550500484487376290e-03,1.407598803643137419e-04
1.950000000000000067e-01,5.895135782608175207e-23,2.490735129214641574e+01,2.542298689954683333e+00,4.760144790207764681e-03,1.507434602256864484e-04
1.980000000000000093e-01,5.895135782608175207e-23,2.525290152385953846e+01,2.617847758864200181e+00,4.976019061023104033e-03,1.612339843310415816e-04
2.010000000000000120e-01,5.895135782608175207e-23,2.559738824989181438e+01,2.694424058243581221e+00,5.198208004926014626e-03,1.722469095658511079e-04
2.040000000000000147e-01,5.895135782608175207e-23,2.594081474341230731e+01,2.772024322690791021e+00,5.426796060635904508e-03,1.837978318713605623e-04
2.070000000000000173e-01,5.895135782608175207e-23,2.628318426751622994e+01,2.850645296862342359e+00,5.661867398428415375e-03,1.959024831086397312e-04
2.099999999999999922e-01,5.895135782608175207e-23,2.662450007525587381e+01,2.930283735442336113e+00,5.903505920962328832e-03,2.085767278220504613e-04
2.129999999999999949e-01,5.895135782608175207e-23,2.696476540967157831e+01,3.010936403111601045e+00,6.151795264103919990e-03,2.218365601301193382e-04
2.159999999999999976e-01,5.895135782608175207e-23,2.730398350382252204e+01,3.092600074516925979e+00,6.406818797748772311e-03,2.356981005202979016e-04
2.190000000000000002e-01,5.895135782608175207e-23,2.764215758081744312e+01,3.175271534240383442e+00,6.668659626641069288e-03,2.501775931287557190e-04
2.220000000000000029e-01,5.895135782608175207e-23,2.797929085384525649e+01,3.258947576768754129e+00,6.937400591190362974e-03,2.652914025641978156e-04
2.250000000000000056e-01,5.895135782608175207e-23,2.831538652620560725e+01,3.343625006463043281e+00,7.213124268285821955e-03,2.810560111977159999e-04
2.280000000000000082e-01,5.895135782608175207e-23,2.865044779133927833e+01,3.429300637528085449e+00,7.495912972107981326e-03,2.974880163375288183e-04
2.310000000000000109e-01,5.895135782608175207e-23,2.898447783285855195e+01,3.515971293982249612e+00,7.785848754937992923e-03,3.146041274931282087e-04
2.340000000000000135e-01,5.895135782608175207e-23,2.931747982457745394e+01,3.603633809627238449e+00,8.083013407964377561e-03,3.324211636818945434e-04
2.370000000000000162e-01,5.895135782608175207e-23,2.964945693054191267e+01,3.692285028017971094e+00,8.387488462087311358e-03,3.509560508597642410e-04
2.399999999999999911e-01,5.895135782608175207e-23,2.998041230505982213e+01,3.781921802432569368e+00,8.699355188720406251e-03,3.702258194133639440e-04
2.429999999999999938e-01,5.895135782608175207e-23,3.031034909273099487e+01,3.872540995842430167e+00,9.018694600590062768e-03,3.902476014666259952e-04
