# Time,Rho,NinA,NinB,NoutB,Nrec
0.000000000000000000e+00,5.895135782608175207e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.470348358154297462e-15
3.000000000000000062e-03,5.895135782608175207e-23,4.222080000000000277e-01,1.266624000000000157e-04,1.044489815999999985e-08,-8.940696716308594923e-15
6.000000000000000125e-03,5.895135782608175207e-23,8.442545521486423121e-01,3.799283211770770928e-04,4.177473734506471291e-08,-5.587935447692871235e-15
9.000000000000001055e-03,5.895135782608175207e-23,1.266139718181869434e+00,7.597389080841857913e-04,1.044247070529568899e-07,2.235174179077148731e-15
1.200000000000000025e-02,5.895135782608175207e-23,1.687863559812016412e+00,1.266035328641148573e-03,2.088251453410275765e-07,1.162290573120117419e-13
1.499999999999999944e-02,5.895135782608175207e-23,2.109426138727819922e+00,1.898758774125648740e-03,3.654015407523638376e-07,1.293048262596130499e-12
1.800000000000000211e-02,5.895135782608175207e-23,2.530827516594428062e+00,2.657850459164229004e-03,5.845745342411940434e-07,7.288902997970581723e-12
2.100000000000000130e-02,5.895135782608175207e-23,2.952067755053407794e+00,3.543251621723290338e-03,8.767599210975508806e-07,2.778545022010803593e-11
2.400000000000000050e-02,5.895135782608175207e-23,3.373146915722756489e+00,4.554903523100097863e-03,1.252368652871192515e-06,8.221529424190522101e-11
2.699999999999999969e-02,5.895135782608175207e-23,3.794065060196909478e+00,5.692747447913788263e-03,1.721806839294783459e-06,2.040199935436249075e-10
2.999999999999999889e-02,5.895135782608175207e-23,4.214822250046746710e+00,6.956724704096380225e-03,2.295475750206331509e-06,4.447605460882187244e-10
3.300000000000000155e-02,5.895135782608175207e-23,4.635418546819606966e+00,8.346776622883788146e-03,2.983771817470885378e-06,8.777942508459091559e-10
3.600000000000000422e-02,5.895135782608175207e-23,5.055854012039292300e+00,9.862844558806836692e-03,3.797086636901493614e-06,1.601734757423401169e-09
3.899999999999999994e-02,5.895135782608175207e-23,5.476128707206077806e+00,1.150486988968229402e-02,4.745806970179420243e-06,2.743270620703697488e-09
4.200000000000000261e-02,5.895135782608175207e-23,5.896242693796724943e+00,1.327279401660388415e-02,5.840314746773617777e-06,4.459582641720771621e-09
4.499999999999999833e-02,5.895135782608175207e-23,6.316196033264485088e+00,1.516655836393331763e-02,7.090987065859469447e-06,6.940272822976113345e-09
4.800000000000000100e-02,5.895135782608175207e-23,6.735988787039107528e+00,1.718610437929132817e-02,8.508196198236778841e-06,1.040897145867347752e-08
