# Time,Rho,NinA,NinB,NoutB,Nrec
1.079999999999999988e-01,5.895135782608175207e-23,1.516961375273048063e+01,8.416556928353521178e-03,8.796303357453266137e-06,9.564924580045045013e-08
1.110000000000000014e-01,5.895135782608175207e-23,1.559011583597144046e+01,8.883566381722735744e-03,9.528864450206074590e-06,1.097201127558946656e-07
1.140000000000000041e-01,5.895135782608175207e-23,1.601057063115598211e+01,9.363150969768242043e-03,1.030097328705059022e-05,1.252990876324474870e-07
1.170000000000000068e-01,5.895135782608175207e-23,1.643097814360194064e+01,9.855308237073593519e-03,1.111366664255027147e-05,1.424891375005245206e-07
1.199999999999999956e-01,5.895135782608175207e-23,1.685133837862654715e+01,1.036003572858433010e-02,1.196798108881865610e-05,1.613962132483720861e-07
1.229999999999999982e-01,5.895135782608175207e-23,1.727165134154644122e+01,1.087733098960793829e-02,1.286495299554920211e-05,1.821291994303465070e-07
1.260000000000000009e-01,5.895135782608175207e-23,1.769191703767766555e+01,1.140719156581379394e-02,1.380561853004512197e-05,2.047998586669564379e-07
1.290000000000000036e-01,5.895135782608175207e-23,1.811213547233565535e+01,1.194961500323311714e-02,1.479101365724923205e-05,2.295227841474116259e-07
1.320000000000000062e-01,5.895135782608175207e-23,1.853230665083526318e+01,1.250459884825892709e-02,1.582217413977378344e-05,2.564153415150940790e-07
1.350000000000000089e-01,5.895135782608175207e-23,1.895243057849073054e+01,1.307214064764599185e-02,1.690013553793029273e-05,2.855976345017552228e-07
1.380000000000000115e-01,5.895135782608175207e-23,1.937250726061570916e+01,1.365223794851077969e-02,1.802593320975936434e-05,3.171924375928938894e-07
1.410000000000000142e-01,5.895135782608175207e-23,1.979253670252325037e+01,1.424488829833141755e-02,1.920060231106051631e-05,3.513251690659671992e-07
1.440000000000000169e-01,5.895135782608175207e-23,2.021251890952581221e+01,1.485008924494763197e-02,2.042517779542201272e-05,3.881238243542611659e-07
1.469999999999999918e-01,5.895135782608175207e-23,2.063245388693524518e+01,1.546783833656071791e-02,2.170069441425064878e-05,4.277189447544515599e-07
1.499999999999999944e-01,5.895135782608175207e-23,2.105234164006281361e+01,1.609813312173347111e-02,2.302818671680159355e-05,4.702435739804059063e-07
1.529999999999999971e-01,5.895135782608175207e-23,2.147218217421917785e+01,1.674097114939016376e-02,2.440868905020817831e-05,5.158331990707665766e-07
1.559999999999999998e-01,5.895135782608175207e-23,2.189197549471440141e+01,1.739634996881645954e-02,2.584323555951170879e-05,5.646257246844470850e-07
1.590000000000000024e-01,5.895135782608175207e-23,2.231172160685795447e+01,1.806426712965941359e-02,2.733286018769125021e-05,6.167614215519279306e-07
1.620000000000000051e-01,5.895135782608175207e-23,2.273142051595870328e+01,1.874472018192739273e-02,2.887859667569343269e-05,6.723828905727715051e-07
1.650000000000000078e-01,5.895135782608175207e-23,2.315107222732492787e+01,1.943770667599003035e-02,3.048147856246226001e-05,7.316350260749460193e-07
1.680000000000000104e-01,5.895135782608175207e-23,2.357067674626429721e+01,2.014322416257819520e-02,3.214253918496886084e-05,7.946649602148682667e-07
1.710000000000000131e-01,5.895135782608175207e-23,2.399023407808389763e+01,2.086127019278392891e-02,3.386281167824131103e-05,8.616220470517873523e-07
1.740000000000000158e-01,5.895135782608175207e-23,2.440974422809021149e+01,2.159184231806039397e-02,3.564332897539436787e-05,9.326578122563661076e-07
1.769999999999999907e-01,5.895135782608175207e-23,2.482920720158912076e+01,2.233493809022185639e-02,3.748512380765929244e-05,1.007925926847383346e-06
1.799999999999999933e-01,5.895135782608175207e-23,2.524862300388592118e+01,2.309055506144358505e-02,3.938922870441358045e-05,1.087582151731476182e-06
1.829999999999999960e-01,5.895135782608175207e-23,2.566799164028530100e+01,2.385869078426185522e-02,4.135667599321077103e-05,1.171784326108172510e-06
1.859999999999999987e-01,5.895135782608175207e-23,2.608731311609136228e+01,2.463934281157388259e-02,4.338849779981018097e-05,1.260692323185503661e-06
1.890000000000000013e-01,5.895135782608175207e-23,2.650658743660760308e+01,2.543250869663775740e-02,4.548572604820666607e-05,1.354468017630279160e-06
1.920000000000000040e-01,5.895135782608175207e-23,2.692581460713691754e+01,2.623818599307243399e-02,4.764939246066040283e-05,1.453275254694745043e-06
1.950000000000000067e-01,5.895135782608175207e-23,2.734499463298162425e+01,2.705637225485764061e-02,4.988052855772659558e-05,1.557279814034700550e-06
1.980000000000000093e-01,5.895135782608175207e-23,2.776412751944343071e+01,2.788706503633387943e-02,5.218016565828528526e-05,1.666649386938661432e-06
2.010000000000000120e-01,5.895135782608175207e-23,2.818321327182344760e+01,2.873026189220232937e-02,5.454933487957101590e-05,1.781553539866581768e-06
2.040000000000000147e-01,5.895135782608175207e-23,2.860225189542220292e+01,2.958596037752483573e-02,5.698906713720265697e-05,1.902163687348365872e-06
2.070000000000000173e-01,5.895135782608175207e-23,2.902124339553960652e+01,3.045415804772383730e-02,5.950039314521308342e-05,2.028653065720573097e-06
2.099999999999999922e-01,5.895135782608175207e-23,2.944018777747499627e+01,3.133485245858234208e-02,6.208434341607892344e-05,2.161196700436994511e-06
2.129999999999999949e-01,5.895135782608175207e-23,2.985908504652709894e+01,3.222804116624385790e-02,6.474194826075031306e-05,2.299971385113894871e-06
2.159999999999999976e-01,5.895135782608175207e-23,3.027793520799404803e+01,3.313372172721236464e-02,6.747423778868056265e-05,2.445155644230544515e-06
2.190000000000000002e-01,5.895135782608175207e-23,3.069673826717338372e+01,3.405189169835224489e-02,7.028224190785593178e-05,2.596929717063903746e-06
2.220000000000000029e-01,5.895135782608175207e-23,3.111549422936204934e+01,3.498254863688827349e-02,7.316699032482532961e-05,2.755475527653470647e-06
2.250000000000000056e-01,5.895135782608175207e-23,3.153420309985639491e+01,3.592569010040550653e-02,7.612951254473002203e-05,2.920976660633460050e-06
2.280000000000000082e-01,5.895135782608175207e-23,3.195286488395216651e+01,3.688131364684930913e-02,7.917083787133335235e-05,3.093618337344378437e-06
2.310000000000000109e-01,5.895135782608175207e-23,3.237147958694452399e+01,3.784941683452523742e-02,8.229199540705038065e-05,3.273587391525507273e-06
2.340000000000000135e-01,5.895135782608175207e-23,3.279004721412802326e+01,3.882999722209904553e-02,8.549401405297771294e-05,3.461072240257636381e-06
2.370000000000000162e-01,5.895135782608175207e-23,3.320856777079664113e+01,3.982305236859661618e-02,8.877792250892311339e-05,3.656262875720858653e-06
2.399999999999999911e-01,5.895135782608175207e-23,3.362704126224372914e+01,4.082857983340390517e-02,9.214474927343518440e-05,3.859350823983550802e-06
2.429999999999999938e-01,5.895135782608175207e-23,3.404546769376208459e+01,4.184657717626691364e-02,9.559552264383308726e-05,4.070529137318954022e-06
2.459999999999999964e-01,5.895135782608175207e-23,3.446384707064386532e+01,4.287704195729162560e-02,9.913127071623624930e-05,4.289992369059473743e-06
2.489999999999999991e-01,5.895135782608175207e-23,3.488217939818067492e+01,4.391997173694393852e-02,1.027530213855939897e-04,4.517936548450962452e-06
2.520000000000000018e-01,5.895135782608175207e-23,3.530046468166348461e+01,4.497536407604968423e-02,1.064618023457152268e-04,4.754559161653742312e-06
2.550000000000000044e-01,5.895135782608175207e-23,3.571870292638271138e+01,4.604321653579452472e-02,1.102586410892981847e-04,5.000059140147641447e-06
2.580000000000000071e-01,5.895135782608175207e-23,3.613689413762813984e+01,4.712352667772387593e-02,1.141445649079599929e-04,5.254636823292821736e-06
2.610000000000000098e-01,5.895135782608175207e-23,3.655503832068897907e+01,4.821629206374297705e-02,1.181206008922663925e-04,5.518493961403147224e-06
2.640000000000000124e-01,5.895135782608175207e-23,3.697313548085383417e+01,4.932151025611670320e-02,1.221877759317613896e-04,5.791833673138172076e-06
2.670000000000000151e-01,5.895135782608175207e-23,3.739118562341071339e+01,5.043917881746962789e-02,1.263471167149970303e-04,6.074860451230779908e-06
2.700000000000000178e-01,5.895135782608175207e-23,3.780918875364705656e+01,5.156929531078589812e-02,1.305996497295626739e-04,6.367780119879172583e-06
2.730000000000000204e-01,5.895135782608175207e-23,3.822714487684967111e+01,5.271185729940925518e-02,1.349464012621152151e-04,6.670799834746867673e-06
2.760000000000000231e-01,5.895135782608175207e-23,3.864505399830480314e+01,5.386686234704292364e-02,1.393883973984082355e-04,6.984128063824027975e-06
2.790000000000000258e-01,5.895135782608175207e-23,3.906291612329808061e+01,5.503430801774959052e-02,1.439266640233219277e-04,7.307974557811394974e-06
2.820000000000000284e-01,5.895135782608175207e-23,3.948073125711455589e+01,5.621419187595137756e-02,1.485622268208925583e-04,7.642550347745419363e-06
2.850000000000000311e-01,5.895135782608175207e-23,3.989849940503865611e+01,5.740651148642975793e-02,1.532961112743422836e-04,7.988067723205314572e-06
2.880000000000000338e-01,5.895135782608175207e-23,4.031622057235425416e+01,5.861126441432554235e-02,1.581293426661085856e-04,8.344740211777389245e-06
2.909999999999999809e-01,5.895135782608175207e-23,4.073389476434461187e+01,5.982844822513880972e-02,1.630629460778740877e-04,8.712782569415867360e-06
2.939999999999999836e-01,5.895135782608175207e-23,4.115152198629238001e+01,6.105806048472885161e-02,1.680979463905960447e-04,9.092410763958470028e-06
2.969999999999999862e-01,5.895135782608175207e-23,4.156910224347964800e+01,6.230009875931416530e-02,1.732353682845359690e-04,9.483841955848038783e-06
2.999999999999999889e-01,5.895135782608175207e-23,4.198663554118787999e+01,6.355456061547236357e-02,1.784762362392893376e-04,9.887294488213957654e-06
3.029999999999999916e-01,5.895135782608175207e-23,4.240412188469795041e+01,6.482144362014015393e-02,1.838215745338151364e-04,1.030298786982894055e-05
3.059999999999999942e-01,5.895135782608175207e-23,4.282156127929016520e+01,6.610074534061324836e-02,1.892724072464654591e-04,1.073114276239648464e-05
3.089999999999999969e-01,5.895135782608175207e-23,4.323895373024420508e+01,6.739246334454639109e-02,1.948297582550151061e-04,1.117198096434585786e-05
3.119999999999999996e-01,5.895135782608175207e-23,4.365629924283918939e+01,6.869659519995323371e-02,2.004946512366912641e-04,1.162572539616376338e-05
3.150000000000000022e-01,5.895135782608175207e-23,4.407359782235361934e+01,7.001313847520636291e-02,2.062681096682029698e-04,1.209260009326972184e-05
3.180000000000000049e-01,5.895135782608175207e-23,4.449084947406541346e+01,7.134209073903717557e-02,2.121511568257708165e-04,1.257283018003217871e-05
3.210000000000000075e-01,5.895135782608175207e-23,4.490805420325188635e+01,7.268344956053587880e-02,2.181448157851564721e-04,1.306664187186397564e-05
3.240000000000000102e-01,5.895135782608175207e-23,4.532521201518976994e+01,7.403721250915144825e-02,2.242501094216924127e-04,1.357426245412789452e-05
3.270000000000000129e-01,5.895135782608175207e-23,4.574232291515519222e+01,7.540337715469153101e-02,2.304680604103111696e-04,1.409592027124017488e-05
3.300000000000000155e-01,5.895135782608175207e-23,4.615938690842370562e+01,7.678194106732245949e-02,2.367996912255751984e-04,1.463184470501728381e-05
3.330000000000000182e-01,5.895135782608175207e-23,4.657640400027025152e+01,7.817290181756918199e-02,2.432460241417065325e-04,1.518226618794724346e-05
3.360000000000000209e-01,5.895135782608175207e-23,4.699337419596916732e+01,7.957625697631516559e-02,2.498080812326158666e-04,1.574741615834646162e-05
3.390000000000000235e-01,5.895135782608175207e-23,4.741029750079424332e+01,8.099200411480246553e-02,2.564868843719327789e-04,1.632752706999890404e-05
3.420000000000000262e-01,5.895135782608175207e-23,4.782717392001863033e+01,8.242014080463154480e-02,2.632834552330347061e-04,1.692283238125965079e-05
3.450000000000000289e-01,5.895135782608175207e-23,4.824400345891491781e+01,8.386066461776128800e-02,2.701988152890768408e-04,1.753356653228402314e-05
3.480000000000000315e-01,5.895135782608175207e-23,4.866078612275506998e+01,8.531357312650900138e-02,2.772339858130215941e-04,1.815996493971906719e-05
3.510000000000000342e-01,5.895135782608175207e-23,4.907752191681048970e+01,8.677886390355028789e-02,2.843899878776681408e-04,1.880226398622617302e-05
3.539999999999999813e-01,5.895135782608175207e-23,4.949421084635196877e+01,8.825653452191899173e-02,2.916678423556818547e-04,1.946070101000368707e-05
3.569999999999999840e-01,5.895135782608175207e-23,4.991085291664970924e+01,8.974658255500725379e-02,2.990685699196241249e-04,2.013551429291256061e-05
3.599999999999999867e-01,5.895135782608175207e-23,5.032744813297333053e+01,9.124900557656537292e-02,3.065931910419816288e-04,2.082694304846227152e-05
3.629999999999999893e-01,5.895135782608175207e-23,5.074399650059185518e+01,9.276380116070179205e-02,3.142427259951959852e-04,2.153522741775959788e-05
3.659999999999999920e-01,5.895135782608175207e-23,5.116049802477368758e+01,9.429096688188300102e-02,3.220181948516932986e-04,2.226060844995081354e-05
3.689999999999999947e-01,5.895135782608175207e-23,5.157695271078667787e+01,9.583050031493359211e-02,3.299206174839134872e-04,2.300332810180262029e-05
3.719999999999999973e-01,5.895135782608175207e-23,5.199336056389806515e+01,9.738239903503610739e-02,3.379510135643401525e-04,2.376362922023982161e-05
3.750000000000000000e-01,5.895135782608175207e-23,5.240972158937450587e+01,9.894666061773108034e-02,3.461104025655297985e-04,2.454175554094836212e-05
3.780000000000000027e-01,5.895135782608175207e-23,5.282603579248203118e+01,1.005232826389169248e-01,3.543998037601414847e-04,2.533795166965574350e-05
3.810000000000000053e-01,5.895135782608175207e-23,5.324230317848613936e+01,1.021122626748498657e-01,3.628202362209663164e-04,2.615246308185160197e-05
3.840000000000000080e-01,5.895135782608175207e-23,5.365852375265167495e+01,1.037135983021439944e-01,3.713727188209568265e-04,2.698553610825911450e-05
3.870000000000000107e-01,5.895135782608175207e-23,5.407469752024294252e+01,1.053272870977711440e-01,3.800582702332567370e-04,2.783741791946814067e-05
